level,up,stay,down,requireCoin
0,10000,0,0,1500
1,9500,500,0,300
2,9000,1000,0,375
3,8500,1500,0,449
4,8000,2000,0,524
5,7500,2500,0,598
6,7000,3000,0,672
7,6500,3500,0,747
8,6000,4000,0,821
9,5500,4500,0,895
10,5000,5000,0,969
11,4800,5200,0,1043
12,4600,5400,0,1116
13,4400,5600,0,1189
14,4200,5800,0,1263
15,4000,6000,0,1335
16,3800,6200,0,1408
17,3600,6400,0,1480
18,3400,6600,0,1552
19,3200,6800,0,1624
20,3000,7000,0,1696
21,3000,6980,20,1767
22,3000,6960,40,1837
23,3000,6940,60,1907
24,3000,6920,80,1977
25,3000,6900,100,2047
26,3000,6880,120,2116
27,3000,6860,140,2184
28,3000,6840,160,2252
29,3000,6820,180,2320
30,3000,6800,200,2387
31,3000,6780,220,2454
32,3000,6760,240,2520
33,3000,6740,260,2585
34,3000,6720,280,2650
35,3000,6700,300,2714
36,3000,6680,320,2778
37,3000,6660,340,2841
38,3000,6640,360,2903
39,3000,6620,380,2965
40,2500,7500,0,3026
41,2500,7450,50,3087
42,2500,7400,100,3146
43,2500,7350,150,3205
44,2500,7300,200,3264
45,2500,7250,250,3321
46,2500,7200,300,3378
47,2500,7150,350,3434
48,2500,7100,400,3489
49,2500,7050,450,3543
50,2500,7000,500,3597
51,2500,6950,550,3650
52,2500,6900,600,3702
53,2500,6850,650,3753
54,2500,6800,700,3803
55,2500,6750,750,3852
56,2500,6700,800,3900
57,2500,6650,850,3948
58,2500,6600,900,3994
59,2500,6550,950,4040
60,2000,8000,0,4085
61,2000,7900,100,4129
62,2000,7800,200,4171
63,2000,7700,300,4213
64,2000,7600,400,4254
65,2000,7500,500,4294
66,2000,7400,600,4333
67,2000,7300,700,4370
68,2000,7200,800,4407
69,2000,7100,900,4443
70,2000,7000,1000,4478
71,2000,6900,1100,4511
72,2000,6800,1200,4544
73,2000,6700,1300,4575
74,2000,6600,1400,4606
75,2000,6500,1500,4635
76,2000,6400,1600,4663
77,2000,6300,1700,4690
78,2000,6200,1800,4717
79,2000,6100,1900,4742
80,1500,8500,0,4765
81,1500,8290,210,4788
82,1500,8080,420,4810
83,1500,7870,630,4830
84,1500,7660,840,4849
85,1500,7450,1050,4868
86,1500,7240,1260,4885
87,1500,7030,1470,4900
88,1500,6820,1680,4915
89,1500,6610,1890,4929
90,1000,6900,2100,4941
91,1000,6690,2310,4952
92,1000,6480,2520,4962
93,1000,6270,2730,4971
94,1000,6060,2940,4979
95,1000,5850,3150,4985
96,1000,5640,3360,4991
97,1000,5430,3570,4995
98,1000,5220,3780,4998
99,1000,5010,3990,4999
100,1000,8000,1000,5000
101,900,8055,1045,5013
102,900,8010,1090,5026
103,900,7965,1135,5039
104,900,7920,1180,5052
105,900,7875,1225,5065
106,900,7830,1270,5078
107,900,7785,1315,5091
108,900,7740,1360,5104
109,900,7695,1405,5117
110,900,7650,1450,5130
111,900,7605,1495,5143
112,900,7560,1540,5156
113,900,7515,1585,5169
114,900,7470,1630,5182
115,900,7425,1675,5195
116,900,7380,1720,5208
117,900,7335,1765,5221
118,900,7290,1810,5234
119,900,7245,1855,5247
120,900,7200,1900,5260
121,900,7155,1945,5273
122,900,7110,1990,5286
123,900,7065,2035,5299
124,900,7020,2080,5312
125,900,6975,2125,5325
126,900,6930,2170,5338
127,900,6885,2215,5351
128,900,6840,2260,5364
129,900,6795,2305,5377
130,900,6750,2350,5390
131,900,6705,2395,5403
132,900,6660,2440,5416
133,900,6615,2485,5429
134,900,6570,2530,5442
135,900,6525,2575,5455
136,900,6480,2620,5468
137,900,6435,2665,5481
138,900,6390,2710,5494
139,900,6345,2755,5507
140,900,6300,2800,5520
141,900,6255,2845,5533
142,900,6210,2890,5546
143,900,6165,2935,5559
144,900,6120,2980,5572
145,900,6075,3025,5585
146,900,6030,3070,5598
147,900,5985,3115,5611
148,900,5940,3160,5624
149,900,5895,3205,5637
150,900,5850,3250,5650
151,900,5805,3295,5663
152,900,5760,3340,5676
153,900,5715,3385,5689
154,900,5670,3430,5702
155,900,5625,3475,5715
156,900,5580,3520,5728
157,900,5535,3565,5741
158,900,5490,3610,5754
159,900,5445,3655,5767
160,900,5400,3700,5780
161,900,5355,3745,5793
162,900,5310,3790,5806
163,900,5265,3835,5819
164,900,5220,3880,5832
165,900,5175,3925,5845
166,900,5130,3970,5858
167,900,5085,4015,5871
168,900,5040,4060,5884
169,900,4995,4105,5897
170,900,4950,4150,5910
171,900,4905,4195,5923
172,900,4860,4240,5936
173,900,4815,4285,5949
174,900,4770,4330,5962
175,900,4725,4375,5975
176,900,4680,4420,5988
177,900,4635,4465,6001
178,900,4590,4510,6014
179,900,4545,4555,6027
180,900,4500,4600,6040
181,900,4455,4645,6053
182,900,4410,4690,6066
183,900,4365,4735,6079
184,900,4320,4780,6092
185,900,4275,4825,6105
186,900,4230,4870,6118
187,900,4185,4915,6131
188,900,4140,4960,6144
189,900,4095,5005,6157
190,900,4050,5050,6170
191,900,4005,5095,6183
192,900,3960,5140,6196
193,900,3915,5185,6209
194,900,3870,5230,6222
195,900,3825,5275,6235
196,900,3780,5320,6248
197,900,3735,5365,6261
