level,up,stay,down,requireCoin,ExpectedGold
0,10000,0,0,1500,1500
1,9500,500,0,300,315.79
2,9000,1000,0,375,416.66
3,8500,1500,0,449,528.22
4,8000,2000,0,524,654.96
5,7500,2500,0,598,797.24
6,7000,3000,0,672,959.82
7,6500,3500,0,747,1148.9
8,6000,4000,0,821,1367.73
9,5500,4500,0,895,1626.19
10,5000,5000,0,969,1936.08
11,4800,5200,0,1043,2170.39
12,4600,5400,0,1116,2422.78
13,4400,5600,0,1189,2697.94
14,4200,5800,0,1263,3001.48
15,4000,6000,0,1335,3330.09
16,3800,6200,0,1408,3695.55
17,3600,6400,0,1480,4098.34
18,3400,6600,0,1552,4547.84
19,3200,6800,0,1624,5052.59
20,3000,7000,0,1696,5623.34
21,3000,6980,20,1767,5897.51
22,3000,6960,40,1837,6171.43
23,3000,6940,60,1907,6448.41
24,3000,6920,80,1977,6728.47
25,3000,6900,100,2047,7011.59
26,3000,6880,120,2116,7294.33
27,3000,6860,140,2184,7576.63
28,3000,6840,160,2252,7861.9
29,3000,6820,180,2320,8150.15
30,3000,6800,200,2387,8437.85
31,3000,6780,220,2454,8728.48
32,3000,6760,240,2520,9018.47
33,3000,6740,260,2585,9307.74
34,3000,6720,280,2650,9599.86
35,3000,6700,300,2714,9891.18
36,3000,6680,320,2778,10185.31
37,3000,6660,340,2841,10478.54
38,3000,6640,360,2903,10770.82
39,3000,6620,380,2965,11065.82
40,2500,7500,0,3026,11999.16
41,2500,7450,50,3087,12482.91
42,2500,7400,100,3146,12967.91
43,2500,7350,150,3205,13462.07
44,2500,7300,200,3264,13965.4
45,2500,7250,250,3321,14469.17
46,2500,7200,300,3378,14981.77
47,2500,7150,350,3434,15498.69
48,2500,7100,400,3489,16019.69
49,2500,7050,450,3543,16544.52
50,2500,7000,500,3597,17077.69
51,2500,6950,550,3650,17614.37
52,2500,6900,600,3702,18154.32
53,2500,6850,650,3753,18697.3
54,2500,6800,700,3803,19243.07
55,2500,6750,750,3852,19791.4
56,2500,6700,800,3900,20342.03
57,2500,6650,850,3948,20900.03
58,2500,6600,900,3994,21454.65
59,2500,6550,950,4040,22016.31
60,2000,8000,0,4085,20117.44
61,2000,7900,100,4129,21330.11
62,2000,7800,200,4171,22551.86
63,2000,7700,300,4213,23792.44
64,2000,7600,400,4254,25045.86
65,2000,7500,500,4294,26311.3
66,2000,7400,600,4333,27587.96
67,2000,7300,700,4370,28868.43
68,2000,7200,800,4407,30164.91
69,2000,7100,900,4443,31470.24
70,2000,7000,1000,4478,32783.64
71,2000,6900,1100,4511,34096.77
72,2000,6800,1200,4544,35423.76
73,2000,6700,1300,4575,36748.48
74,2000,6600,1400,4606,38086
75,2000,6500,1500,4635,39419.27
76,2000,6400,1600,4663,40755.56
77,2000,6300,1700,4690,42094.13
78,2000,6200,1800,4717,43443.45
79,2000,6100,1900,4742,44784.59
80,1500,8500,0,4765,30849.66
81,1500,8290,210,4788,35164.64
82,1500,8080,420,4810,39480.92
83,1500,7870,630,4830,43784.23
84,1500,7660,840,4849,48077.62
85,1500,7450,1050,4868,52368.18
86,1500,7240,1260,4885,56631.96
87,1500,7030,1470,4900,60863.46
88,1500,6820,1680,4915,65083.92
89,1500,6610,1890,4929,69279.11
90,1000,6900,2100,4941,124871.11
91,1000,6690,2310,4952,131943.13
92,1000,6480,2520,4962,138842.45
93,1000,6270,2730,4971,145570.31
94,1000,6060,2940,4979,152127.95
95,1000,5850,3150,4985,158484.87
96,1000,5640,3360,4991,164704.7
97,1000,5430,3570,4995,170723.95
98,1000,5220,3780,4998,176575.7
99,1000,5010,3990,4999,182224.76
100,1000,8000,1000,5000,87291.18
101,900,8055,1045,5013,100936.77
102,900,8010,1090,5026,103156.1
103,900,7965,1135,5039,105370.79
104,900,7920,1180,5052,107580.85
105,900,7875,1225,5065,109786.28
106,900,7830,1270,5078,111987.1
107,900,7785,1315,5091,114183.32
108,900,7740,1360,5104,116374.95
109,900,7695,1405,5117,118562.03
110,900,7650,1450,5130,120744.57
111,900,7605,1495,5143,122922.59
112,900,7560,1540,5156,125096.12
113,900,7515,1585,5169,127265.2
114,900,7470,1630,5182,129429.84
115,900,7425,1675,5195,131590.08
116,900,7380,1720,5208,133745.94
117,900,7335,1765,5221,135897.47
118,900,7290,1810,5234,138044.69
119,900,7245,1855,5247,140187.63
120,900,7200,1900,5260,142326.34
121,900,7155,1945,5273,144460.83
122,900,7110,1990,5286,146591.16
123,900,7065,2035,5299,148717.35
124,900,7020,2080,5312,150839.44
125,900,6975,2125,5325,152957.45
126,900,6930,2170,5338,155071.44
127,900,6885,2215,5351,157181.43
128,900,6840,2260,5364,159287.46
129,900,6795,2305,5377,161389.56
130,900,6750,2350,5390,163487.77
131,900,6705,2395,5403,165582.12
132,900,6660,2440,5416,167672.65
133,900,6615,2485,5429,169759.4
134,900,6570,2530,5442,171842.39
135,900,6525,2575,5455,173921.67
136,900,6480,2620,5468,175997.26
137,900,6435,2665,5481,178069.2
138,900,6390,2710,5494,180137.53
139,900,6345,2755,5507,182202.28
140,900,6300,2800,5520,184263.48
141,900,6255,2845,5533,186321.16
142,900,6210,2890,5546,188375.36
143,900,6165,2935,5559,190426.11
144,900,6120,2980,5572,192473.45
145,900,6075,3025,5585,194517.4
146,900,6030,3070,5598,196557.99
147,900,5985,3115,5611,198595.26
148,900,5940,3160,5624,200629.24
149,900,5895,3205,5637,202659.96
150,900,5850,3250,5650,204687.45
151,900,5805,3295,5663,206711.75
152,900,5760,3340,5676,208732.87
153,900,5715,3385,5689,210750.85
154,900,5670,3430,5702,212765.72
155,900,5625,3475,5715,214777.5
156,900,5580,3520,5728,216786.24
157,900,5535,3565,5741,218791.95
158,900,5490,3610,5754,220794.66
159,900,5445,3655,5767,222794.41
160,900,5400,3700,5780,224791.21
161,900,5355,3745,5793,226785.1
162,900,5310,3790,5806,228776.1
163,900,5265,3835,5819,230764.24
164,900,5220,3880,5832,232749.55
165,900,5175,3925,5845,234732.05
166,900,5130,3970,5858,236711.76
167,900,5085,4015,5871,238688.72
168,900,5040,4060,5884,240662.95
169,900,4995,4105,5897,242634.47
170,900,4950,4150,5910,244603.31
171,900,4905,4195,5923,246569.48
172,900,4860,4240,5936,248533.03
173,900,4815,4285,5949,250493.97
174,900,4770,4330,5962,252452.31
175,900,4725,4375,5975,254408.1
176,900,4680,4420,5988,256361.35
177,900,4635,4465,6001,258312.07
178,900,4590,4510,6014,260260.31
179,900,4545,4555,6027,262206.07
180,900,4500,4600,6040,264149.38
181,900,4455,4645,6053,266090.26
182,900,4410,4690,6066,268028.73
183,900,4365,4735,6079,269964.82
184,900,4320,4780,6092,271898.54
185,900,4275,4825,6105,273829.92
186,900,4230,4870,6118,275758.97
187,900,4185,4915,6131,277685.72
188,900,4140,4960,6144,279610.19
189,900,4095,5005,6157,281532.39
190,900,4050,5050,6170,283452.36
191,900,4005,5095,6183,285370.09
192,900,3960,5140,6196,287285.62
193,900,3915,5185,6209,289198.97
194,900,3870,5230,6222,291110.15
195,900,3825,5275,6235,293019.18
196,900,3780,5320,6248,294926.08
197,900,3735,5365,6261,296830.86
198,900,3690,5410,6274,298733.56
199,900,3645,5455,6287,300634.17
200,900,3600,5500,6300,302532.73
201,860,7885,1255,10463,241587.05
202,860,7840,1300,10476,246028.28
203,860,7795,1345,10489,250445.17
204,860,7750,1390,10502,254837.97
205,860,7705,1435,10515,259206.89
206,860,7660,1480,10528,263552.17
207,860,7615,1525,10541,267874.04
208,860,7570,1570,10554,272172.74
209,860,7525,1615,10567,276448.51
210,860,7480,1660,10580,280701.57
211,860,7435,1705,10593,284932.16
212,860,7390,1750,10606,289140.53
213,860,7345,1795,10619,293326.9
214,860,7300,1840,10632,297491.5
215,860,7255,1885,10645,301634.58
216,860,7210,1930,10658,305756.36
217,860,7165,1975,10671,309857.07
218,860,7120,2020,10684,313936.94
219,860,7075,2065,10697,317996.2
220,860,7030,2110,10710,322035.06
221,860,6985,2155,10723,326053.77
222,860,6940,2200,10736,330052.52
223,860,6895,2245,10749,334031.55
224,860,6850,2290,10762,337991.07
225,860,6805,2335,10775,341931.29
226,860,6760,2380,10788,345852.43
227,860,6715,2425,10801,349754.69
228,860,6670,2470,10814,353638.28
229,860,6625,2515,10827,357503.4
230,860,6580,2560,10840,361350.27
231,860,6535,2605,10853,365179.07
232,860,6490,2650,10866,368990
233,860,6445,2695,10879,372783.27
234,860,6400,2740,10892,376559.06
235,860,6355,2785,10905,380317.57
236,860,6310,2830,10918,384058.97
237,860,6265,2875,10931,387783.47
238,860,6220,2920,10944,391491.23
239,860,6175,2965,10957,395182.44
240,860,6130,3010,10970,398857.29
241,860,6085,3055,10983,402515.94
242,860,6040,3100,10996,406158.57
243,860,5995,3145,11009,409785.36
244,860,5950,3190,11022,413396.46
245,860,5905,3235,11035,416992.06
246,860,5860,3280,11048,420572.31
247,860,5815,3325,11061,424137.38
248,860,5770,3370,11074,427687.42
249,860,5725,3415,11087,431222.61
250,860,5680,3460,11100,434743.09
251,860,5635,3505,11113,438249.01
252,860,5590,3550,11126,441740.54
253,860,5545,3595,11139,445217.82
254,860,5500,3640,11152,448681
255,860,5455,3685,11165,452130.23
256,860,5410,3730,11178,455565.65
257,860,5365,3775,11191,458987.41
258,860,5320,3820,11204,462395.64
259,860,5275,3865,11217,465790.49
260,860,5230,3910,11230,469172.09
261,860,5185,3955,11243,472540.58
262,860,5140,4000,11256,475896.09
263,860,5095,4045,11269,479238.76
264,860,5050,4090,11282,482568.71
265,860,5005,4135,11295,485886.07
266,860,4960,4180,11308,489190.97
267,860,4915,4225,11321,492483.54
268,860,4870,4270,11334,495763.89
269,860,4825,4315,11347,499032.16
270,860,4780,4360,11360,502288.46
271,860,4735,4405,11373,505532.91
272,860,4690,4450,11386,508765.62
273,860,4645,4495,11399,511986.72
274,860,4600,4540,11412,515196.32
275,860,4555,4585,11425,518394.53
276,860,4510,4630,11438,521581.46
277,860,4465,4675,11451,524757.22
278,860,4420,4720,11464,527921.93
279,860,4375,4765,11477,531075.68
280,860,4330,4810,11490,534218.59
281,860,4285,4855,11503,537350.76
282,860,4240,4900,11516,540472.29
283,860,4195,4945,11529,543583.28
284,860,4150,4990,11542,546683.84
285,860,4105,5035,11555,549774.07
286,860,4060,5080,11568,552854.05
287,860,4015,5125,11581,555923.9
288,860,3970,5170,11594,558983.7
289,860,3925,5215,11607,562033.56
290,860,3880,5260,11620,565073.55
291,860,3835,5305,11633,568103.79
292,860,3790,5350,11646,571124.35
293,860,3745,5395,11659,574135.32
294,860,3700,5440,11672,577136.81
295,860,3655,5485,11685,580128.89
296,860,3610,5530,11698,583111.65
297,860,3565,5575,11711,586085.17
298,860,3520,5620,11724,589049.55
299,860,3475,5665,11737,592004.86
300,860,3430,5710,11750,594951.19
301,820,7715,1465,15913,417601.56
302,820,7670,1510,15926,424270.04
303,820,7625,1555,15939,430890.55
304,820,7580,1600,15952,437463.67
305,820,7535,1645,15965,443989.96
306,820,7490,1690,15978,450469.98
307,820,7445,1735,15991,456904.29
308,820,7400,1780,16004,463293.45
309,820,7355,1825,16017,469638.01
310,820,7310,1870,16030,475938.51
311,820,7265,1915,16043,482195.49
312,820,7220,1960,16056,488409.49
313,820,7175,2005,16069,494581.04
314,820,7130,2050,16082,500710.67
315,820,7085,2095,16095,506798.88
316,820,7040,2140,16108,512846.19
317,820,6995,2185,16121,518853.11
